=== WEIGHTS ONLY ===
Total weights: 288,122,268
3376.weight: 91,206/91,584 zeros (99.59%)
3378.weight: 91,266/91,584 zeros (99.65%)
3380.weight: 90,636/91,008 zeros (99.59%)
3382.weight: 90,692/91,008 zeros (99.65%)
3384.weight: 89,496/89,856 zeros (99.60%)
3386.weight: 89,544/89,856 zeros (99.65%)
3388.weight: 87,216/87,552 zeros (99.62%)
3390.weight: 87,248/87,552 zeros (99.65%)
3392.weight: 73,410/73,728 zeros (99.57%)
3394.weight: 93,744/94,208 zeros (99.51%)
3396.weight: 120,240/120,704 zeros (99.62%)
3398.weight: 111,052/111,520 zeros (99.58%)
3400.weight: 112,412/112,880 zeros (99.59%)
3402.weight: 124,031/124,500 zeros (99.62%)
3404.weight: 149,125/149,625 zeros (99.67%)
3406.weight: 163,089/163,590 zeros (99.69%)
3408.weight: 164,320/164,820 zeros (99.70%)
3410.weight: 165,126/165,624 zeros (99.70%)
3412.weight: 165,952/166,448 zeros (99.70%)
3414.weight: 165,960/166,448 zeros (99.71%)
3416.weight: 165,964/166,448 zeros (99.71%)
3418.weight: 164,368/164,832 zeros (99.72%)
3420.weight: 162,744/163,200 zeros (99.72%)
3422.weight: 140,370/140,800 zeros (99.69%)
3424.weight: 100,994/101,376 zeros (99.62%)
3426.weight: 82,464/82,944 zeros (99.42%)
3428.weight: 73,440/73,728 zeros (99.61%)
3430.weight: 81,283/81,664 zeros (99.53%)
3432.weight: 91,553/91,872 zeros (99.65%)
3434.weight: 91,206/91,584 zeros (99.59%)
3436.weight: 91,266/91,584 zeros (99.65%)
3438.weight: 90,636/91,008 zeros (99.59%)
3440.weight: 90,692/91,008 zeros (99.65%)
3442.weight: 89,496/89,856 zeros (99.60%)
3444.weight: 89,544/89,856 zeros (99.65%)
3446.weight: 87,216/87,552 zeros (99.62%)
3448.weight: 87,248/87,552 zeros (99.65%)
3450.weight: 73,410/73,728 zeros (99.57%)
3452.weight: 73,248/73,728 zeros (99.35%)
3454.weight: 73,440/73,728 zeros (99.61%)
3456.weight: 81,283/81,664 zeros (99.53%)
3458.weight: 91,553/91,872 zeros (99.65%)
3460.weight: 91,206/91,584 zeros (99.59%)
3462.weight: 91,266/91,584 zeros (99.65%)
3464.weight: 90,636/91,008 zeros (99.59%)
3466.weight: 90,692/91,008 zeros (99.65%)
3468.weight: 89,496/89,856 zeros (99.60%)
3470.weight: 89,544/89,856 zeros (99.65%)
3472.weight: 87,216/87,552 zeros (99.62%)
3474.weight: 87,248/87,552 zeros (99.65%)
3476.weight: 73,410/73,728 zeros (99.57%)
3478.weight: 93,744/94,208 zeros (99.51%)
3480.weight: 120,240/120,704 zeros (99.62%)
3482.weight: 111,052/111,520 zeros (99.58%)
3484.weight: 112,412/112,880 zeros (99.59%)
3486.weight: 124,031/124,500 zeros (99.62%)
3488.weight: 149,125/149,625 zeros (99.67%)
3490.weight: 163,089/163,590 zeros (99.69%)
3492.weight: 164,320/164,820 zeros (99.70%)
3494.weight: 165,126/165,624 zeros (99.70%)
3496.weight: 165,952/166,448 zeros (99.70%)
3498.weight: 165,960/166,448 zeros (99.71%)
3500.weight: 165,964/166,448 zeros (99.71%)
3502.weight: 164,368/164,832 zeros (99.72%)
3504.weight: 162,744/163,200 zeros (99.72%)
3506.weight: 140,370/140,800 zeros (99.69%)
3508.weight: 100,994/101,376 zeros (99.62%)
3510.weight: 82,464/82,944 zeros (99.42%)
3512.weight: 73,440/73,728 zeros (99.61%)
3514.weight: 81,283/81,664 zeros (99.53%)
3516.weight: 91,553/91,872 zeros (99.65%)
3518.weight: 91,206/91,584 zeros (99.59%)
3520.weight: 91,266/91,584 zeros (99.65%)
3522.weight: 90,636/91,008 zeros (99.59%)
3524.weight: 90,692/91,008 zeros (99.65%)
3526.weight: 89,496/89,856 zeros (99.60%)
3528.weight: 89,544/89,856 zeros (99.65%)
3530.weight: 87,216/87,552 zeros (99.62%)
3532.weight: 87,248/87,552 zeros (99.65%)
3534.weight: 73,410/73,728 zeros (99.57%)
3536.weight: 73,248/73,728 zeros (99.35%)
3538.weight: 73,440/73,728 zeros (99.61%)
3540.weight: 81,283/81,664 zeros (99.53%)
3542.weight: 91,553/91,872 zeros (99.65%)
3544.weight: 91,206/91,584 zeros (99.59%)
3546.weight: 91,266/91,584 zeros (99.65%)
3548.weight: 90,636/91,008 zeros (99.59%)
3550.weight: 90,692/91,008 zeros (99.65%)
3552.weight: 89,496/89,856 zeros (99.60%)
3554.weight: 89,544/89,856 zeros (99.65%)
3556.weight: 87,216/87,552 zeros (99.62%)
3558.weight: 87,248/87,552 zeros (99.65%)
3560.weight: 73,410/73,728 zeros (99.57%)
3562.weight: 93,744/94,208 zeros (99.51%)
3564.weight: 120,240/120,704 zeros (99.62%)
3566.weight: 111,052/111,520 zeros (99.58%)
3568.weight: 112,412/112,880 zeros (99.59%)
3570.weight: 124,031/124,500 zeros (99.62%)
3572.weight: 149,125/149,625 zeros (99.67%)
3574.weight: 163,089/163,590 zeros (99.69%)
3576.weight: 164,320/164,820 zeros (99.70%)
3578.weight: 165,126/165,624 zeros (99.70%)
3580.weight: 165,952/166,448 zeros (99.70%)
3582.weight: 165,960/166,448 zeros (99.71%)
3584.weight: 165,964/166,448 zeros (99.71%)
3586.weight: 164,368/164,832 zeros (99.72%)
3588.weight: 162,744/163,200 zeros (99.72%)
3590.weight: 140,370/140,800 zeros (99.69%)
3592.weight: 100,994/101,376 zeros (99.62%)
3594.weight: 82,464/82,944 zeros (99.42%)
3596.weight: 73,440/73,728 zeros (99.61%)
3598.weight: 81,283/81,664 zeros (99.53%)
3600.weight: 91,553/91,872 zeros (99.65%)
3602.weight: 91,206/91,584 zeros (99.59%)
3604.weight: 91,266/91,584 zeros (99.65%)
3606.weight: 90,636/91,008 zeros (99.59%)
3608.weight: 90,692/91,008 zeros (99.65%)
3610.weight: 89,496/89,856 zeros (99.60%)
3612.weight: 89,544/89,856 zeros (99.65%)
3614.weight: 87,216/87,552 zeros (99.62%)
3616.weight: 87,248/87,552 zeros (99.65%)
3618.weight: 73,410/73,728 zeros (99.57%)
3620.weight: 73,248/73,728 zeros (99.35%)
3622.weight: 73,440/73,728 zeros (99.61%)
3624.weight: 81,283/81,664 zeros (99.53%)
3626.weight: 91,553/91,872 zeros (99.65%)
3628.weight: 91,206/91,584 zeros (99.59%)
3630.weight: 91,266/91,584 zeros (99.65%)
3632.weight: 90,636/91,008 zeros (99.59%)
3634.weight: 90,692/91,008 zeros (99.65%)
3636.weight: 89,496/89,856 zeros (99.60%)
3638.weight: 89,544/89,856 zeros (99.65%)
3640.weight: 87,216/87,552 zeros (99.62%)
3642.weight: 87,248/87,552 zeros (99.65%)
3644.weight: 73,410/73,728 zeros (99.57%)
3646.weight: 93,744/94,208 zeros (99.51%)
3648.weight: 120,240/120,704 zeros (99.62%)
3650.weight: 111,052/111,520 zeros (99.58%)
3652.weight: 112,412/112,880 zeros (99.59%)
3654.weight: 124,031/124,500 zeros (99.62%)
3656.weight: 149,125/149,625 zeros (99.67%)
3658.weight: 163,089/163,590 zeros (99.69%)
3660.weight: 164,320/164,820 zeros (99.70%)
3662.weight: 165,126/165,624 zeros (99.70%)
3664.weight: 165,952/166,448 zeros (99.70%)
3666.weight: 165,960/166,448 zeros (99.71%)
3668.weight: 165,964/166,448 zeros (99.71%)
3670.weight: 164,368/164,832 zeros (99.72%)
3672.weight: 162,744/163,200 zeros (99.72%)
3674.weight: 140,370/140,800 zeros (99.69%)
3676.weight: 100,994/101,376 zeros (99.62%)
3678.weight: 82,464/82,944 zeros (99.42%)
3680.weight: 73,440/73,728 zeros (99.61%)
3682.weight: 81,283/81,664 zeros (99.53%)
3684.weight: 91,553/91,872 zeros (99.65%)
3686.weight: 91,206/91,584 zeros (99.59%)
3688.weight: 91,266/91,584 zeros (99.65%)
3690.weight: 90,636/91,008 zeros (99.59%)
3692.weight: 90,692/91,008 zeros (99.65%)
3694.weight: 89,496/89,856 zeros (99.60%)
3696.weight: 89,544/89,856 zeros (99.65%)
3698.weight: 87,216/87,552 zeros (99.62%)
3700.weight: 87,248/87,552 zeros (99.65%)
3702.weight: 73,410/73,728 zeros (99.57%)
3704.weight: 73,248/73,728 zeros (99.35%)
3706.weight: 73,440/73,728 zeros (99.61%)
3708.weight: 81,283/81,664 zeros (99.53%)
3710.weight: 91,553/91,872 zeros (99.65%)
3712.weight: 91,206/91,584 zeros (99.59%)
3714.weight: 91,266/91,584 zeros (99.65%)
3716.weight: 90,636/91,008 zeros (99.59%)
3718.weight: 90,692/91,008 zeros (99.65%)
3720.weight: 89,496/89,856 zeros (99.60%)
3722.weight: 89,544/89,856 zeros (99.65%)
3724.weight: 87,216/87,552 zeros (99.62%)
3726.weight: 87,248/87,552 zeros (99.65%)
3728.weight: 73,410/73,728 zeros (99.57%)
3730.weight: 93,744/94,208 zeros (99.51%)
3732.weight: 120,240/120,704 zeros (99.62%)
3734.weight: 111,052/111,520 zeros (99.58%)
3736.weight: 112,412/112,880 zeros (99.59%)
3738.weight: 124,031/124,500 zeros (99.62%)
3740.weight: 149,125/149,625 zeros (99.67%)
3742.weight: 163,089/163,590 zeros (99.69%)
3744.weight: 164,320/164,820 zeros (99.70%)
3746.weight: 165,126/165,624 zeros (99.70%)
3748.weight: 165,952/166,448 zeros (99.70%)
3750.weight: 165,960/166,448 zeros (99.71%)
3752.weight: 165,964/166,448 zeros (99.71%)
3754.weight: 164,368/164,832 zeros (99.72%)
3756.weight: 162,744/163,200 zeros (99.72%)
3758.weight: 140,370/140,800 zeros (99.69%)
3760.weight: 100,994/101,376 zeros (99.62%)
3762.weight: 82,464/82,944 zeros (99.42%)
3764.weight: 73,440/73,728 zeros (99.61%)
3766.weight: 81,283/81,664 zeros (99.53%)
3768.weight: 91,553/91,872 zeros (99.65%)
3770.weight: 91,206/91,584 zeros (99.59%)
3772.weight: 91,266/91,584 zeros (99.65%)
3774.weight: 90,636/91,008 zeros (99.59%)
3776.weight: 90,692/91,008 zeros (99.65%)
3778.weight: 89,496/89,856 zeros (99.60%)
3780.weight: 89,544/89,856 zeros (99.65%)
3782.weight: 87,216/87,552 zeros (99.62%)
3784.weight: 87,248/87,552 zeros (99.65%)
3786.weight: 73,410/73,728 zeros (99.57%)
3788.weight: 73,248/73,728 zeros (99.35%)
3790.weight: 73,440/73,728 zeros (99.61%)
3792.weight: 81,283/81,664 zeros (99.53%)
3794.weight: 91,553/91,872 zeros (99.65%)
3796.weight: 91,206/91,584 zeros (99.59%)
3798.weight: 91,266/91,584 zeros (99.65%)
3800.weight: 90,636/91,008 zeros (99.59%)
3802.weight: 90,692/91,008 zeros (99.65%)
3804.weight: 89,496/89,856 zeros (99.60%)
3806.weight: 89,544/89,856 zeros (99.65%)
3808.weight: 87,216/87,552 zeros (99.62%)
3810.weight: 87,248/87,552 zeros (99.65%)
3812.weight: 73,410/73,728 zeros (99.57%)
3814.weight: 93,744/94,208 zeros (99.51%)
3816.weight: 120,240/120,704 zeros (99.62%)
3818.weight: 111,052/111,520 zeros (99.58%)
3820.weight: 112,412/112,880 zeros (99.59%)
3822.weight: 124,031/124,500 zeros (99.62%)
3824.weight: 149,125/149,625 zeros (99.67%)
3826.weight: 163,089/163,590 zeros (99.69%)
3828.weight: 164,320/164,820 zeros (99.70%)
3830.weight: 165,126/165,624 zeros (99.70%)
3832.weight: 165,952/166,448 zeros (99.70%)
3834.weight: 165,960/166,448 zeros (99.71%)
3836.weight: 165,964/166,448 zeros (99.71%)
3838.weight: 164,368/164,832 zeros (99.72%)
3840.weight: 162,744/163,200 zeros (99.72%)
3842.weight: 140,370/140,800 zeros (99.69%)
3844.weight: 100,994/101,376 zeros (99.62%)
3846.weight: 82,464/82,944 zeros (99.42%)
3848.weight: 73,440/73,728 zeros (99.61%)
3850.weight: 81,283/81,664 zeros (99.53%)
3852.weight: 91,553/91,872 zeros (99.65%)
3854.weight: 91,206/91,584 zeros (99.59%)
3856.weight: 91,266/91,584 zeros (99.65%)
3858.weight: 90,636/91,008 zeros (99.59%)
3860.weight: 90,692/91,008 zeros (99.65%)
3862.weight: 89,496/89,856 zeros (99.60%)
3864.weight: 89,544/89,856 zeros (99.65%)
3866.weight: 87,216/87,552 zeros (99.62%)
3868.weight: 87,248/87,552 zeros (99.65%)
3870.weight: 73,410/73,728 zeros (99.57%)
3872.weight: 73,248/73,728 zeros (99.35%)
3874.weight: 73,440/73,728 zeros (99.61%)
3876.weight: 81,283/81,664 zeros (99.53%)
3878.weight: 91,553/91,872 zeros (99.65%)
3880.weight: 91,206/91,584 zeros (99.59%)
3882.weight: 91,266/91,584 zeros (99.65%)
3884.weight: 90,636/91,008 zeros (99.59%)
3886.weight: 90,692/91,008 zeros (99.65%)
3888.weight: 89,496/89,856 zeros (99.60%)
3890.weight: 89,544/89,856 zeros (99.65%)
3892.weight: 87,216/87,552 zeros (99.62%)
3894.weight: 87,248/87,552 zeros (99.65%)
3896.weight: 73,410/73,728 zeros (99.57%)
3898.weight: 93,744/94,208 zeros (99.51%)
3900.weight: 120,240/120,704 zeros (99.62%)
3902.weight: 111,052/111,520 zeros (99.58%)
3904.weight: 112,412/112,880 zeros (99.59%)
3906.weight: 124,031/124,500 zeros (99.62%)
3908.weight: 149,125/149,625 zeros (99.67%)
3910.weight: 163,089/163,590 zeros (99.69%)
3912.weight: 164,320/164,820 zeros (99.70%)
3914.weight: 165,126/165,624 zeros (99.70%)
3916.weight: 165,952/166,448 zeros (99.70%)
3918.weight: 165,960/166,448 zeros (99.71%)
3920.weight: 165,964/166,448 zeros (99.71%)
3922.weight: 164,368/164,832 zeros (99.72%)
3924.weight: 162,744/163,200 zeros (99.72%)
3926.weight: 140,370/140,800 zeros (99.69%)
3928.weight: 100,994/101,376 zeros (99.62%)
3930.weight: 82,464/82,944 zeros (99.42%)
3932.weight: 73,440/73,728 zeros (99.61%)
3934.weight: 81,283/81,664 zeros (99.53%)
3936.weight: 91,553/91,872 zeros (99.65%)
3938.weight: 91,206/91,584 zeros (99.59%)
3940.weight: 91,266/91,584 zeros (99.65%)
3942.weight: 90,636/91,008 zeros (99.59%)
3944.weight: 90,692/91,008 zeros (99.65%)
3946.weight: 89,496/89,856 zeros (99.60%)
3948.weight: 89,544/89,856 zeros (99.65%)
3950.weight: 87,216/87,552 zeros (99.62%)
3952.weight: 87,248/87,552 zeros (99.65%)
3954.weight: 73,410/73,728 zeros (99.57%)
3956.weight: 73,248/73,728 zeros (99.35%)
3958.weight: 73,440/73,728 zeros (99.61%)
3960.weight: 81,283/81,664 zeros (99.53%)
3962.weight: 91,553/91,872 zeros (99.65%)
3964.weight: 91,206/91,584 zeros (99.59%)
3966.weight: 91,266/91,584 zeros (99.65%)
3968.weight: 90,636/91,008 zeros (99.59%)
3970.weight: 90,692/91,008 zeros (99.65%)
3972.weight: 89,496/89,856 zeros (99.60%)
3974.weight: 89,544/89,856 zeros (99.65%)
3976.weight: 87,216/87,552 zeros (99.62%)
3978.weight: 87,248/87,552 zeros (99.65%)
3980.weight: 73,410/73,728 zeros (99.57%)
3982.weight: 93,744/94,208 zeros (99.51%)
3984.weight: 120,240/120,704 zeros (99.62%)
3986.weight: 111,052/111,520 zeros (99.58%)
3988.weight: 112,412/112,880 zeros (99.59%)
3990.weight: 124,031/124,500 zeros (99.62%)
3992.weight: 149,125/149,625 zeros (99.67%)
3994.weight: 163,089/163,590 zeros (99.69%)
3996.weight: 164,320/164,820 zeros (99.70%)
3998.weight: 165,126/165,624 zeros (99.70%)
4000.weight: 165,952/166,448 zeros (99.70%)
4002.weight: 165,960/166,448 zeros (99.71%)
4004.weight: 165,964/166,448 zeros (99.71%)
4006.weight: 164,368/164,832 zeros (99.72%)
4008.weight: 162,744/163,200 zeros (99.72%)
4010.weight: 140,370/140,800 zeros (99.69%)
4012.weight: 100,994/101,376 zeros (99.62%)
4014.weight: 82,464/82,944 zeros (99.42%)
4016.weight: 73,440/73,728 zeros (99.61%)
4018.weight: 81,283/81,664 zeros (99.53%)
4020.weight: 91,553/91,872 zeros (99.65%)
4022.weight: 91,206/91,584 zeros (99.59%)
4024.weight: 91,266/91,584 zeros (99.65%)
4026.weight: 90,636/91,008 zeros (99.59%)
4028.weight: 90,692/91,008 zeros (99.65%)
4030.weight: 89,496/89,856 zeros (99.60%)
4032.weight: 89,544/89,856 zeros (99.65%)
4034.weight: 87,216/87,552 zeros (99.62%)
4036.weight: 87,248/87,552 zeros (99.65%)
4038.weight: 73,410/73,728 zeros (99.57%)
4040.weight: 73,248/73,728 zeros (99.35%)
4042.weight: 73,440/73,728 zeros (99.61%)
4044.weight: 81,283/81,664 zeros (99.53%)
4046.weight: 91,553/91,872 zeros (99.65%)
4048.weight: 91,206/91,584 zeros (99.59%)
4050.weight: 91,266/91,584 zeros (99.65%)
4052.weight: 90,636/91,008 zeros (99.59%)
4054.weight: 90,692/91,008 zeros (99.65%)
4056.weight: 89,496/89,856 zeros (99.60%)
4058.weight: 89,544/89,856 zeros (99.65%)
4060.weight: 87,216/87,552 zeros (99.62%)
4062.weight: 87,248/87,552 zeros (99.65%)
4064.weight: 73,410/73,728 zeros (99.57%)
4066.weight: 85,616/86,016 zeros (99.53%)
4068.weight: 109,808/110,208 zeros (99.64%)
4070.weight: 111,052/111,520 zeros (99.58%)
4072.weight: 112,412/112,880 zeros (99.59%)
4074.weight: 124,031/124,500 zeros (99.62%)
4076.weight: 149,125/149,625 zeros (99.67%)
4078.weight: 163,089/163,590 zeros (99.69%)
4080.weight: 164,320/164,820 zeros (99.70%)
4082.weight: 165,126/165,624 zeros (99.70%)
4084.weight: 165,952/166,448 zeros (99.70%)
4086.weight: 165,960/166,448 zeros (99.71%)
4088.weight: 165,964/166,448 zeros (99.71%)
4090.weight: 164,368/164,832 zeros (99.72%)
4092.weight: 162,744/163,200 zeros (99.72%)
4094.weight: 140,370/140,800 zeros (99.69%)
4096.weight: 100,994/101,376 zeros (99.62%)
4098.weight: 82,464/82,944 zeros (99.42%)
4100.weight: 73,440/73,728 zeros (99.61%)
4102.weight: 81,283/81,664 zeros (99.53%)
4104.weight: 91,553/91,872 zeros (99.65%)
4106.weight: 91,206/91,584 zeros (99.59%)
4108.weight: 91,266/91,584 zeros (99.65%)
4110.weight: 90,636/91,008 zeros (99.59%)
4112.weight: 90,692/91,008 zeros (99.65%)
4114.weight: 89,496/89,856 zeros (99.60%)
4116.weight: 89,544/89,856 zeros (99.65%)
4118.weight: 87,216/87,552 zeros (99.62%)
4120.weight: 87,248/87,552 zeros (99.65%)
4122.weight: 73,410/73,728 zeros (99.57%)
4124.weight: 73,248/73,728 zeros (99.35%)
4126.weight: 73,440/73,728 zeros (99.61%)
4128.weight: 81,283/81,664 zeros (99.53%)
4130.weight: 91,553/91,872 zeros (99.65%)
4132.weight: 91,206/91,584 zeros (99.59%)
4134.weight: 91,266/91,584 zeros (99.65%)
4136.weight: 90,636/91,008 zeros (99.59%)
4138.weight: 90,692/91,008 zeros (99.65%)
4140.weight: 89,496/89,856 zeros (99.60%)
4142.weight: 89,544/89,856 zeros (99.65%)
4144.weight: 87,216/87,552 zeros (99.62%)
4146.weight: 87,248/87,552 zeros (99.65%)
4148.weight: 73,410/73,728 zeros (99.57%)
4150.weight: 85,616/86,016 zeros (99.53%)
4152.weight: 109,808/110,208 zeros (99.64%)
4154.weight: 111,052/111,520 zeros (99.58%)
4156.weight: 112,412/112,880 zeros (99.59%)
4158.weight: 124,031/124,500 zeros (99.62%)
4160.weight: 149,125/149,625 zeros (99.67%)
4162.weight: 163,089/163,590 zeros (99.69%)
4164.weight: 164,320/164,820 zeros (99.70%)
4166.weight: 165,126/165,624 zeros (99.70%)
4168.weight: 165,952/166,448 zeros (99.70%)
4170.weight: 165,960/166,448 zeros (99.71%)
4172.weight: 165,964/166,448 zeros (99.71%)
4174.weight: 164,368/164,832 zeros (99.72%)
4176.weight: 162,744/163,200 zeros (99.72%)
4178.weight: 140,370/140,800 zeros (99.69%)
4180.weight: 100,994/101,376 zeros (99.62%)
4182.weight: 82,464/82,944 zeros (99.42%)
4184.weight: 73,440/73,728 zeros (99.61%)
4186.weight: 81,283/81,664 zeros (99.53%)
4188.weight: 91,553/91,872 zeros (99.65%)
4190.weight: 91,206/91,584 zeros (99.59%)
4192.weight: 91,266/91,584 zeros (99.65%)
4194.weight: 90,636/91,008 zeros (99.59%)
4196.weight: 90,692/91,008 zeros (99.65%)
4198.weight: 89,496/89,856 zeros (99.60%)
4200.weight: 89,544/89,856 zeros (99.65%)
4202.weight: 87,216/87,552 zeros (99.62%)
4204.weight: 87,248/87,552 zeros (99.65%)
4206.weight: 73,410/73,728 zeros (99.57%)
4208.weight: 73,248/73,728 zeros (99.35%)
4210.weight: 73,440/73,728 zeros (99.61%)
4212.weight: 81,283/81,664 zeros (99.53%)
4214.weight: 91,553/91,872 zeros (99.65%)
4216.weight: 91,206/91,584 zeros (99.59%)
4218.weight: 91,266/91,584 zeros (99.65%)
4220.weight: 90,636/91,008 zeros (99.59%)
4222.weight: 90,692/91,008 zeros (99.65%)
4224.weight: 89,496/89,856 zeros (99.60%)
4226.weight: 89,544/89,856 zeros (99.65%)
4228.weight: 87,216/87,552 zeros (99.62%)
4230.weight: 87,248/87,552 zeros (99.65%)
4232.weight: 73,410/73,728 zeros (99.57%)
4234.weight: 85,616/86,016 zeros (99.53%)
4236.weight: 109,808/110,208 zeros (99.64%)
4238.weight: 111,052/111,520 zeros (99.58%)
4240.weight: 112,412/112,880 zeros (99.59%)
4242.weight: 124,031/124,500 zeros (99.62%)
4244.weight: 149,125/149,625 zeros (99.67%)
4246.weight: 163,089/163,590 zeros (99.69%)
4248.weight: 164,320/164,820 zeros (99.70%)
4250.weight: 165,126/165,624 zeros (99.70%)
4252.weight: 165,952/166,448 zeros (99.70%)
4254.weight: 165,960/166,448 zeros (99.71%)
4256.weight: 165,964/166,448 zeros (99.71%)
4258.weight: 164,368/164,832 zeros (99.72%)
4260.weight: 162,744/163,200 zeros (99.72%)
4262.weight: 140,370/140,800 zeros (99.69%)
4264.weight: 100,994/101,376 zeros (99.62%)
4266.weight: 82,464/82,944 zeros (99.42%)
4268.weight: 73,440/73,728 zeros (99.61%)
4270.weight: 81,283/81,664 zeros (99.53%)
4272.weight: 91,553/91,872 zeros (99.65%)
4274.weight: 91,206/91,584 zeros (99.59%)
4276.weight: 91,266/91,584 zeros (99.65%)
4278.weight: 90,636/91,008 zeros (99.59%)
4280.weight: 90,692/91,008 zeros (99.65%)
4282.weight: 89,496/89,856 zeros (99.60%)
4284.weight: 89,544/89,856 zeros (99.65%)
4286.weight: 87,216/87,552 zeros (99.62%)
4288.weight: 87,248/87,552 zeros (99.65%)
4290.weight: 73,410/73,728 zeros (99.57%)
4292.weight: 73,248/73,728 zeros (99.35%)
4294.weight: 73,440/73,728 zeros (99.61%)
4296.weight: 81,283/81,664 zeros (99.53%)
4298.weight: 91,553/91,872 zeros (99.65%)
4300.weight: 91,206/91,584 zeros (99.59%)
4302.weight: 91,266/91,584 zeros (99.65%)
4304.weight: 90,636/91,008 zeros (99.59%)
4306.weight: 90,692/91,008 zeros (99.65%)
4308.weight: 89,496/89,856 zeros (99.60%)
4310.weight: 89,544/89,856 zeros (99.65%)
4312.weight: 87,216/87,552 zeros (99.62%)
4314.weight: 87,248/87,552 zeros (99.65%)
4316.weight: 73,410/73,728 zeros (99.57%)
4318.weight: 85,616/86,016 zeros (99.53%)
4320.weight: 109,808/110,208 zeros (99.64%)
4322.weight: 111,052/111,520 zeros (99.58%)
4324.weight: 112,412/112,880 zeros (99.59%)
4326.weight: 124,031/124,500 zeros (99.62%)
4328.weight: 149,125/149,625 zeros (99.67%)
4330.weight: 163,089/163,590 zeros (99.69%)
4332.weight: 164,320/164,820 zeros (99.70%)
4334.weight: 165,126/165,624 zeros (99.70%)
4336.weight: 165,952/166,448 zeros (99.70%)
4338.weight: 165,960/166,448 zeros (99.71%)
4340.weight: 165,964/166,448 zeros (99.71%)
4342.weight: 164,368/164,832 zeros (99.72%)
4344.weight: 162,744/163,200 zeros (99.72%)
4346.weight: 140,370/140,800 zeros (99.69%)
4348.weight: 100,994/101,376 zeros (99.62%)
4350.weight: 82,464/82,944 zeros (99.42%)
4352.weight: 73,440/73,728 zeros (99.61%)
4354.weight: 81,283/81,664 zeros (99.53%)
4356.weight: 91,553/91,872 zeros (99.65%)
4358.weight: 91,206/91,584 zeros (99.59%)
4360.weight: 91,266/91,584 zeros (99.65%)
4362.weight: 90,636/91,008 zeros (99.59%)
4364.weight: 90,692/91,008 zeros (99.65%)
4366.weight: 89,496/89,856 zeros (99.60%)
4368.weight: 89,544/89,856 zeros (99.65%)
4370.weight: 87,216/87,552 zeros (99.62%)
4372.weight: 87,248/87,552 zeros (99.65%)
4374.weight: 73,410/73,728 zeros (99.57%)
4376.weight: 73,248/73,728 zeros (99.35%)
4378.weight: 73,440/73,728 zeros (99.61%)
4380.weight: 81,283/81,664 zeros (99.53%)
4382.weight: 91,553/91,872 zeros (99.65%)
4384.weight: 91,206/91,584 zeros (99.59%)
4386.weight: 91,266/91,584 zeros (99.65%)
4388.weight: 90,636/91,008 zeros (99.59%)
4390.weight: 90,692/91,008 zeros (99.65%)
4392.weight: 89,496/89,856 zeros (99.60%)
4394.weight: 89,544/89,856 zeros (99.65%)
4396.weight: 87,216/87,552 zeros (99.62%)
4398.weight: 87,248/87,552 zeros (99.65%)
4400.weight: 73,410/73,728 zeros (99.57%)
4402.weight: 85,616/86,016 zeros (99.53%)
4404.weight: 109,808/110,208 zeros (99.64%)
4406.weight: 111,052/111,520 zeros (99.58%)
4408.weight: 112,412/112,880 zeros (99.59%)
4410.weight: 124,031/124,500 zeros (99.62%)
4412.weight: 149,125/149,625 zeros (99.67%)
4414.weight: 163,089/163,590 zeros (99.69%)
4416.weight: 164,320/164,820 zeros (99.70%)
4418.weight: 165,126/165,624 zeros (99.70%)
4420.weight: 165,952/166,448 zeros (99.70%)
4422.weight: 165,960/166,448 zeros (99.71%)
4424.weight: 165,964/166,448 zeros (99.71%)
4426.weight: 164,368/164,832 zeros (99.72%)
4428.weight: 162,744/163,200 zeros (99.72%)
4430.weight: 140,370/140,800 zeros (99.69%)
4432.weight: 100,994/101,376 zeros (99.62%)
4434.weight: 82,464/82,944 zeros (99.42%)
4436.weight: 73,440/73,728 zeros (99.61%)
4438.weight: 81,283/81,664 zeros (99.53%)
4440.weight: 91,553/91,872 zeros (99.65%)
4442.weight: 91,206/91,584 zeros (99.59%)
4444.weight: 91,266/91,584 zeros (99.65%)
4446.weight: 90,636/91,008 zeros (99.59%)
4448.weight: 90,692/91,008 zeros (99.65%)
4450.weight: 89,496/89,856 zeros (99.60%)
4452.weight: 89,544/89,856 zeros (99.65%)
4454.weight: 87,216/87,552 zeros (99.62%)
4456.weight: 87,248/87,552 zeros (99.65%)
4458.weight: 73,410/73,728 zeros (99.57%)
4460.weight: 73,248/73,728 zeros (99.35%)
4462.weight: 73,440/73,728 zeros (99.61%)
4464.weight: 81,283/81,664 zeros (99.53%)
4466.weight: 91,553/91,872 zeros (99.65%)
4468.weight: 91,206/91,584 zeros (99.59%)
4470.weight: 91,266/91,584 zeros (99.65%)
4472.weight: 90,636/91,008 zeros (99.59%)
4474.weight: 90,692/91,008 zeros (99.65%)
4476.weight: 89,496/89,856 zeros (99.60%)
4478.weight: 89,544/89,856 zeros (99.65%)
4480.weight: 87,216/87,552 zeros (99.62%)
4482.weight: 87,248/87,552 zeros (99.65%)
4484.weight: 73,410/73,728 zeros (99.57%)
4486.weight: 85,616/86,016 zeros (99.53%)
4488.weight: 109,808/110,208 zeros (99.64%)
4490.weight: 111,052/111,520 zeros (99.58%)
